,industry_id, export , domestic supply , total supply , import , ITC disallowed , itc_ind 
41,"('Electricity',)"," 99,30,887 "," 7,07,29,021 "," 8,06,59,908 "," 99,68,586 "," 1,25,55,026 "," 1,10,09,281 "
42,"('Gas',)"," 17,21,015 "," 1,18,11,521 "," 1,35,32,536 "," 20,35,905 ", -   ," 25,04,328 "
43,"('Water supply',)"," 9,42,675 "," 95,46,170 "," 1,04,88,846 "," 9,94,222 "," 8,55,384 "," 7,78,508 "
44,"('Railway Transport',)"," 12,69,581 "," 1,77,22,090 "," 1,89,91,671 "," 18,47,539 ", -   ," 20,97,115 "
45,"('Land Transport',)"," 1,06,35,137 "," 10,32,98,450 "," 11,39,33,587 "," 86,95,226 ", -   ," 1,10,40,402 "
46,"('Water Transport',)"," 16,85,187 "," 17,55,067 "," 34,40,254 "," 45,39,217 ", -   ," 4,43,113 "
47,"('Air Transport',)"," 19,53,179 "," 85,23,947 "," 1,04,77,126 "," 26,26,047 ", -   ," 17,60,154 "
48,"('Supportive & Auxilliary transport activities',)"," 20,85,681 "," 2,25,38,099 "," 2,46,23,781 "," 27,32,330 ", -   ," 28,29,216 "
49,"('Storage & warehousing',)"," 3,07,640 "," 18,60,394 "," 21,68,034 "," 4,01,263 ", -   ," 1,55,642 "
50,"('Communication',)"," 99,37,278 "," 5,65,27,876 "," 6,64,65,155 "," 1,27,64,740 ", -   ," 97,86,137 "
51,"('Trade',)"," 55,89,097 "," 20,95,60,603 "," 21,51,49,700 "," 75,25,051 ", -   ," 1,49,74,124 "
52,"('Hotels & Restaurant',)"," 17,61,866 "," 4,78,12,539 "," 4,95,74,406 "," 36,31,999 "," -6,535 "," 14,80,441 "
53,"('Financial Services',)"," 47,53,588 "," 10,01,00,413 "," 10,48,54,000 "," 45,46,051 ", -   ," 41,70,929 "
54,"('Insurance Services',)"," 8,56,365 "," 1,93,01,394 "," 2,01,57,758 "," 11,13,526 ", -   ," 10,64,985 "
55,"('Ownership of dwellings',)"," 31,639 "," 11,31,73,760 "," 11,32,05,399 "," 1,17,153 ", -   ," 45,74,405 "
56,"('Education & Research',)"," 51,00,039 "," 6,10,22,334 "," 6,61,22,373 "," 61,14,066 ", -   ," 26,40,775 "
57,"('Medical and Health',)"," 39,71,584 "," 3,01,81,918 "," 3,41,53,502 "," 13,39,653 ", -   ," 16,23,748 "
58,"('Legal Services',)"," 2,29,427 "," 82,25,553 "," 84,54,980 "," 3,88,723 ", -   ," 2,80,378 "
59,"('Computer related services',)"," 86,15,634 "," 6,09,66,666 "," 6,95,82,300 "," 94,19,038 ", -   ," 62,38,899 "
60,"('Other Business services',)"," 60,98,525 "," 4,78,74,154 "," 5,39,72,679 "," 62,15,772 ", -   ," 50,32,390 "
61,"('Real estate activities',)"," 20,48,025 "," 2,16,79,762 "," 2,37,27,787 "," 16,32,084 ", -   ," 30,16,593 "
62,"('Renting of machinery and equipment',)"," 2,94,737 "," 43,36,098 "," 46,30,834 "," 3,63,327 ", -   ," 3,25,879 "
63,"('Community, Social & personal services',)"," 21,33,699 "," 3,50,31,273 "," 3,71,64,972 "," 24,22,515 ", -   ," 53,67,135 "
64,"('Other services',)"," 40,79,444 "," 1,49,89,048 "," 1,90,68,492 "," 46,73,230 ", -   ," 13,58,514 "
65,"('Public admn. & defence',)"," 40,48,975 "," 11,72,46,864 "," 12,12,95,839 "," 97,50,602 "," -7,010 "," 78,21,924 "
